Country,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper, 2019
Afghanistan,<1000 ,<500 , 1800,<1000 ,<500 , 2000,<1000 ,<500 , 2300,<1000 ,<500 , 2700,1000 ,<500 , 3200,1100 ,<500 , 3700,1200 ,<500 , 4200,1300 ,<500 , 4800,1400 ,<500 , 5100,1500 ,<500 , 5500,116
Albania,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<100 ,<100 , <500,<100 ,<100 , <500,<100 ,<100 , <500,-23
Algeria,1200 ,<1000 , 1700,1300 ,<1000 , 1900,1400 ,<1000 , 2100,1500 ,<1000 , 2300,1700 ,<1000 , 2600,1800 ,<1000 , 2800,1900 ,<1000 , 3000,1900 ,<1000 , 3300,2000 ,<500 , 3600,2100 ,<500 , 4100,83
Angola,26 000 ,21 000 , 31 000,27 000 ,22 000 , 32 000,27 000 ,22 000 , 32 000,27 000 ,21 000 , 32 000,26 000 ,20 000 , 32 000,26 000 ,20 000 , 32 000,26 000 ,20 000 , 33 000,27 000 ,20 000 , 34 000,27 000 ,19 000 , 35 000,26 000 ,18 000 , 34 000,-2
Argentina,5700 ,4600 , 7500,6000 ,4700 , 7900,6100 ,4800 , 7900,6000 ,4700 , 7900,5900 ,4600 , 7900,6100 ,4700 , 8300,5900 ,4400 , 8200,6100 ,4400 , 8200,5700 ,4100 , 8100,5900 ,4300 , 8500,3
Armenia,<500 ,<200 , <500,<500 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<100 , <500,-30
Australia,1000 ,<1000 , 1400,1000 ,<1000 , 1400,1000 ,<1000 , 1500,1000 ,<1000 , 1500,1000 ,<1000 , 1500,1000 ,<1000 , 1500,<1000 ,<1000 , 1500,<1000 ,<1000 , 1500,<1000 ,<500 , 1500,<1000 ,<500 , 1400,-18
Austria,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Azerbaijan,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<500 , 1000,<1000 ,<500 , 1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,-25
Bahamas,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Bahrain,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Bangladesh,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Barbados,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,-36
Belarus,1900 ,1500 , 2300,2000 ,1500 , 2500,2100 ,1600 , 2700,2200 ,1700 , 2800,2300 ,1700 , 3100,2300 ,1700 , 3200,2200 ,1600 , 3200,2100 ,1500 , 3100,2000 ,1300 , 3100,1900 ,1200 , 3100,4
Belgium,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Belize,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Benin,4700 ,2300 , 9500,4600 ,2300 , 9300,4500 ,2200 , 9000,4500 ,2200 , 9000,4300 ,2100 , 8500,4000 ,1900 , 8000,3800 ,1800 , 7500,3700 ,1800 , 7300,3600 ,1800 , 7200,3500 ,1700 , 6900,-27
Bhutan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Bolivia (Plurinational State of),1100 ,<1000 , 1400,1100 ,<1000 , 1400,1100 ,<1000 , 1400,1100 ,<1000 , 1400,1100 ,<1000 , 1400,1100 ,<1000 , 1400,1000 ,<1000 , 1300,<1000 ,<1000 , 1300,<1000 ,<1000 , 1300,<1000 ,<1000 , 1300,-11
Bosnia and Herzegovina,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Botswana,14 000 ,14 000 , 15 000,14 000 ,13 000 , 15 000,13 000 ,12 000 , 14 000,12 000 ,11 000 , 13 000,12 000 ,11 000 , 13 000,12 000 ,10 000 , 13 000,11 000 ,9700 , 12 000,10 000 ,9000 , 12 000,9900 ,8600 , 12 000,9500 ,8000 , 11 000,-34
Brazil,41 000 ,19 000 , 60 000,44 000 ,20 000 , 64 000,44 000 ,20 000 , 64 000,47 000 ,22 000 , 69 000,48 000 ,23 000 , 71 000,50 000 ,24 000 , 74 000,47 000 ,22 000 , 69 000,47 000 ,22 000 , 70 000,48 000 ,23 000 , 70 000,48 000 ,23 000 , 71 000,19
Brunei Darussalam,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Bulgaria,<500 ,<200 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,40
Burkina Faso,5300 ,4000 , 6800,5100 ,3900 , 6500,4500 ,3200 , 5900,4200 ,3000 , 5700,3800 ,2600 , 5200,3300 ,2300 , 4800,3100 ,2100 , 4400,2800 ,2000 , 4100,2900 ,1900 , 4400,2700 ,1800 , 4200,-49
